web-scraper-order,web-scraper-start-url,Game_title,Rating,Downloads
"1613978361-1967","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=96","POW - Prisoners Of War","4.6/5","7,456"
"1613978601-3720","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=8","Arka Boom (Arkanoid Hack)","5/5","1,136"
"1613978355-1920","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=98","Punk Mario (SMB3 Hack)","2.8/5","1,599"
"1613978425-2448","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=72","Maria's Golf (Hack) (JU)","2.3/5","1,237"
"1613978474-2806","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=54","Hokuto No Ken","4.2/5","2,656"
"1613978336-1789","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=105","Sanma No Mei Tantei","5/5","1,052"
"1613978444-2572","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=65","Kouryuu Densetsu Villgust Gaiden","4.6/5","865"
"1613978245-1098","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=139","Urban Champion (JU)","3.7/5","7,223"
"1613978352-1894","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=99","Quattro Adventure (Aladdin)","0/5","1,047"
"1613978245-1100","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=139","Vegas Dream","3.5/5","2,507"
"1613978243-1082","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=140","VS TKO Boxing (VS) [f1]","4.2/5","1,537"
"1613978414-2365","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=76","Mario's Castle (SMB1 Hack)","3.8/5","3,164"
"1613978518-3113","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=38","Dungeon Magic - Sword Of The Elements","4/5","3,189"
