web-scraper-order,web-scraper-start-url,game,game-href,image-src,name,file_size,region,genre,download_count,rating,rate_count,download_url,download_url-href,real_url
"1614001122-6222","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=46","Ganbare Goemon! - Karakuri Douchuu [T-Eng1.01]","https://romsmania.cc/roms/nintendo/ganbare-goemon-karakuri-douchuu-t-eng1-01-240911","https://romsmania.cc/statics/assets/covers/nintendo/ganbare-goemon!-karakuri-douchuu-nintendo.jpg","Ganbare Goemon! - Karakuri Douchuu [T-Eng1.01]","106.5KB","Japan","Action","662","5","1","Download","https://romsmania.cc/download/roms/nintendo/ganbare-goemon-karakuri-douchuu-t-eng1-01-240911","https://s2roms.cc/s3roms/Nintendo/Translated/Ganbare%20Goemon%21%20-%20Karakuri%20Douchuu%20%28J%29%20%5BT-Eng1.01%5D.zip"
"1613994010-5142","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=100","Rambo","https://romsmania.cc/roms/nintendo/rambo-241995","https://romsmania.cc/statics/assets/covers/nintendo/rnes-4256.png","Rambo","65.3KB","USA","null","24,032","3.9","114","Download","https://romsmania.cc/download/roms/nintendo/rambo-241995","https://s2roms.cc/s3roms/Nintendo/USA/P-T/Rambo%20%28U%29.zip"
"1614048549-6659","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=24","Clash At Demonhead","https://romsmania.cc/roms/nintendo/clash-at-demonhead-240470","https://romsmania.cc/statics/assets/covers/nintendo/clash-at-demonhead-nintendo.jpg","Clash At Demonhead","144.4KB","USA","Action, Adventure, Platform","4,843","4","24","Download","https://romsmania.cc/download/roms/nintendo/clash-at-demonhead-240470","https://s2roms.cc/s3roms/Nintendo/USA/A-C/Clash%20At%20Demonhead%20%28U%29.zip"
"1614049704-6921","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=11","Banana [hM03]","https://romsmania.cc/roms/nintendo/banana-hm03-240207","https://romsmania.cc/statics/assets/covers/nintendo/banana-nintendo.jpg","Banana [hM03]","24.2KB","Japan","Puzzle","1,418","4.6","14","Download","https://romsmania.cc/download/roms/nintendo/banana-hm03-240207","https://s2roms.cc/s3roms/Nintendo/Hacks/A-L/Banana%20%28J%29%20%5BhM03%5D.zip"
"1613988554-4402","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=137","TwinBee","https://romsmania.cc/roms/nintendo/twinbee-242737","https://romsmania.cc/statics/assets/covers/nintendo/twinbee-6872.jpg","TwinBee","28.2KB","Japan","null","4,047","4.6","13","Download","https://romsmania.cc/download/roms/nintendo/twinbee-242737","https://s2roms.cc/s3roms/Nintendo/Hacks/M-Z/TwinBee%20%28J%29%20%5Bh1%5D.zip"
"1613986828-4083","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=153","ZZZ_UNK_FC2135","https://romsmania.cc/roms/nintendo/zzz-unk-fc2135-243055","https://romsmania.cc/statics/assets/covers/nintendo/nes-megaman-5322.jpg","ZZZ_UNK_FC2135","48.4KB","USA","null","744","0","0","Download","https://romsmania.cc/download/roms/nintendo/zzz-unk-fc2135-243055","https://s2roms.cc/s3roms/Nintendo/Unclass/ZZZ_UNK_FC2135.zip"
"1613994290-5188","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=98","Punk Mario (SMB3 Hack)","https://romsmania.cc/roms/nintendo/punk-mario-smb3-hack-241948","https://romsmania.cc/statics/assets/covers/nintendo/super-nintendo-mario-paint-front-cover-main-6680.jpg","Punk Mario (SMB3 Hack)","217.1KB","USA","null","1,599","2.8","2","Download","https://romsmania.cc/download/roms/nintendo/punk-mario-smb3-hack-241948","https://s2roms.cc/s3roms/Nintendo/Hacks/M-Z/Punk%20Mario%20%28SMB3%20Hack%29.zip"
"1613987320-4167","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=149","ZZZ_UNK_Boy And His Blob - Trouble On Blobolonia, A (Bad CH4)","https://romsmania.cc/roms/nintendo/zzz-unk-boy-and-his-blob-trouble-on-blobolonia-a-bad-ch4-242971","https://romsmania.cc/statics/assets/covers/nintendo/21833front-5228.jpg","ZZZ_UNK_Boy And His Blob - Trouble On Blobolonia, A (Bad CH4)","100.4KB","USA","null","613","0","0","Download","https://romsmania.cc/download/roms/nintendo/zzz-unk-boy-and-his-blob-trouble-on-blobolonia-a-bad-ch4-242971","https://s2roms.cc/s3roms/Nintendo/Unclass/ZZZ_UNK_Boy%20and%20His%20Blob%20-%20Trouble%20on%20Blobolonia%2C%20A%20%28Bad%20CH4%29.zip"
"1614048908-6742","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=20","Carnage (SMB1 Hack)","https://romsmania.cc/roms/nintendo/carnage-smb1-hack-240387","https://romsmania.cc/statics/assets/covers/nintendo/carnage-(smb1-hack)-nintendo.png","Carnage (SMB1 Hack)","30.5KB","USA","Action, Platform","1,572","4.5","19","Download","https://romsmania.cc/download/roms/nintendo/carnage-smb1-hack-240387","https://s2roms.cc/s3roms/Nintendo/Hacks/A-L/Carnage%20%28SMB1%20Hack%29.zip"
"1613987494-4201","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=147","Zhong Guo Xiang Qi (TXC) (As) [a1]","https://romsmania.cc/roms/nintendo/zhong-guo-xiang-qi-txc-as-a1-242937","https://romsmania.cc/statics/assets/covers/nintendo/ji-pin-tian-die-zhang-guo-rong-5485.jpg","Zhong Guo Xiang Qi (TXC) (As) [a1]","17.4KB","USA","null","497","0","0","Download","https://romsmania.cc/download/roms/nintendo/zhong-guo-xiang-qi-txc-as-a1-242937","https://s2roms.cc/s3roms/Nintendo/Pirate/Zhong%20Guo%20Xiang%20Qi%20%28TXC%29%20%28As%29%20%5Bp1%5D%5Ba1%5D.zip"
"1613988928-4470","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=134","Tiny Toon Adventures 2 - Trouble In Wackyland","https://romsmania.cc/roms/nintendo/tiny-toon-adventures-2-trouble-in-wackyland-242668","https://romsmania.cc/statics/assets/covers/nintendo/49830front-4451.jpg","Tiny Toon Adventures 2 - Trouble In Wackyland","133.2KB","USA","null","13,548","4.5","26","Download","https://romsmania.cc/download/roms/nintendo/tiny-toon-adventures-2-trouble-in-wackyland-242668","https://s2roms.cc/s3roms/Nintendo/USA/P-T/Tiny%20Toon%20Adventures%202%20-%20Trouble%20in%20Wackyland%20%28U%29.zip"
"1614001870-6328","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=41","Final Fantasy 2 [hM02][T-Eng1.02][a1]","https://romsmania.cc/roms/nintendo/final-fantasy-2-hm02-t-eng1-02-a1-240802","https://romsmania.cc/statics/assets/covers/nintendo/final-fantasy-2-nintendo.jpg","Final Fantasy 2 [hM02][T-Eng1.02][a1]","162.9KB","Japan","Role Playing","724","0","0","Download","https://romsmania.cc/download/roms/nintendo/final-fantasy-2-hm02-t-eng1-02-a1-240802","https://s2roms.cc/s3roms/Nintendo/Translated/Final%20Fantasy%202%20%28J%29%20%5BhM02%5D%5BT-Eng1.02%5D%5Ba1%5D.zip"
"1613998981-5916","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=62","Kanshakudama Nage Kantarou No Toukaidou Gojuusan Tsugi [hM03]","https://romsmania.cc/roms/nintendo/kanshakudama-nage-kantarou-no-toukaidou-gojuusan-tsugi-hm03-241218","https://romsmania.cc/statics/assets/covers/nintendo/kanshakudama-nage-kantarou-no-toukaidou-gojuusan-tsugi-nintendo.jpg","Kanshakudama Nage Kantarou No Toukaidou Gojuusan Tsugi [hM03]","28.4KB","Japan","Action, Platform","793","4.4","4","Download","https://romsmania.cc/download/roms/nintendo/kanshakudama-nage-kantarou-no-toukaidou-gojuusan-tsugi-hm03-241218","https://s2roms.cc/s3roms/Nintendo/Hacks/A-L/Kanshakudama%20Nage%20Kantarou%20no%20Toukaidou%20Gojuusan%20Tsugi%20%28J%29%20%5BhM03%5D.zip"
